o1,o1.cpus,o1.min_memory,o1.priority,o1.command,o1.state,o1.work_dir,o2,o2.cpu_load,o2.free_mem,o2.cpu,o2.state,e1
59913778,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0074,96.1,459940,96,"""alloc""",start-59913778-1
59912198,1,4G,,job_kontroll2.job,RUNNING,/rwthfs/rz/cluster/work/rwth1773/vp_ae/pulmonary_simulator/optimization/optimization_scripts,host_n23m0363,48.08,428560,96,"""mix""",start-59912198-1
59912198,1,4G,,job_kontroll2.job,RUNNING,/rwthfs/rz/cluster/work/rwth1773/vp_ae/pulmonary_simulator/optimization/optimization_scripts,host_n23m0363,48.08,428560,96,"""mix""",submit-59912198-0
59912198,1,4G,,job_kontroll2.job,RUNNING,/rwthfs/rz/cluster/work/rwth1773/vp_ae/pulmonary_simulator/optimization/optimization_scripts,host_n23m0363,48.08,428560,96,"""mix""",ended-_59912198-0
59911640,1,40G,,uncertain.sh cheetah_run separate_ensemble_training,RUNNING,/rwthfs/rz/cluster/home/lr394959/work,host_n23g0008,5.07,434636,96,"""mix""",start-59911640-1
59911640,1,40G,,uncertain.sh cheetah_run separate_ensemble_training,RUNNING,/rwthfs/rz/cluster/home/lr394959/work,host_n23g0008,5.07,434636,96,"""mix""",submit-59911640-0
59912614,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0286,14.3,234450,96,"""alloc""",cancelled-_59912614-0
59912614,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0286,14.3,234450,96,"""alloc""",start-59912614-1
59912614,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0286,14.3,234450,96,"""alloc""",ending-_59912614-0
59912614,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0286,14.3,234450,96,"""alloc""",submit-59912614-0
59913495,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_r23m0099,96.42,477182,96,"""alloc""",start-59913495-1
59913495,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_r23m0099,96.42,477182,96,"""alloc""",submit-59913495-0
59912010,10,27G,,submission_file_23a9045de7044a51aad36c7d8c900f2e.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_n23m0307,10.6,247942,96,"""mix""",submit-59912010-0
59912010,10,27G,,submission_file_23a9045de7044a51aad36c7d8c900f2e.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_n23m0307,10.6,247942,96,"""mix""",start-59912010-1
59913492,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0084,56.93,349165,96,"""alloc""",submit-59913492-0
59913492,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0084,56.93,349165,96,"""alloc""",start-59913492-1
